service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1001_20250811_20250825_Ke,0,0,1,0,0,0,0,20250811,20250825
1001_20250811_20250825_Ma,1,0,0,0,0,0,0,20250811,20250825
1001_20250811_20250825_Pe,0,0,0,0,1,0,0,20250811,20250825
1001_20250811_20250825_Ti,0,1,0,0,0,0,0,20250811,20250825
1001_20250811_20250825_To,0,0,0,1,0,0,0,20250811,20250825
1001_20250811_20250825_UL,0,0,0,0,1,0,0,20250822,20250822
1001 5_20250627_20250810_Ke,0,0,1,0,0,0,0,20250627,20250810
1001 5_20250627_20250810_La,0,0,0,0,0,1,0,20250627,20250810
1001 5_20250627_20250810_Ma,1,0,0,0,0,0,0,20250627,20250810
1001 5_20250627_20250810_Pe,0,0,0,0,1,0,0,20250627,20250810
1001 5_20250627_20250810_Su,0,0,0,0,0,0,1,20250627,20250810
1001 5_20250627_20250810_Ti,0,1,0,0,0,0,0,20250627,20250810
1001 5_20250627_20250810_TL,0,0,0,0,0,1,0,20250628,20250628
1001 5_20250627_20250810_To,0,0,0,1,0,0,0,20250627,20250810
1001 5_20250627_20250810_TS,0,0,0,0,0,0,1,20250629,20250629
1001 5_20250627_20250810_TU,0,0,0,0,1,0,0,20250627,20250627
1001 5_20250811_20250825_Ke,0,0,1,0,0,0,0,20250811,20250825
1001 5_20250811_20250825_La,0,0,0,0,0,1,0,20250811,20250825
1001 5_20250811_20250825_Ma,1,0,0,0,0,0,0,20250811,20250825
1001 5_20250811_20250825_Pe,0,0,0,0,1,0,0,20250811,20250825
1001 5_20250811_20250825_SN,0,0,0,0,0,0,1,20250824,20250824
1001 5_20250811_20250825_Su,0,0,0,0,0,0,1,20250811,20250825
1001 5_20250811_20250825_Ti,0,1,0,0,0,0,0,20250811,20250825
1001 5_20250811_20250825_To,0,0,0,1,0,0,0,20250811,20250825
1001 5_20250811_20250825_UL,0,0,0,0,1,0,0,20250822,20250822
1001 5_20250811_20250825_UT,0,0,0,0,0,1,0,20250823,20250823
1001 6_20250811_20250825_Ke,0,0,1,0,0,0,0,20250811,20250825
1001 6_20250811_20250825_Ma,1,0,0,0,0,0,0,20250811,20250825
1001 6_20250811_20250825_Pe,0,0,0,0,1,0,0,20250811,20250825
1001 6_20250811_20250825_Ti,0,1,0,0,0,0,0,20250811,20250825
1001 6_20250811_20250825_To,0,0,0,1,0,0,0,20250811,20250825
1001 6_20250811_20250825_UL,0,0,0,0,1,0,0,20250822,20250822
1001H5_20250627_20250810_Ke,0,0,1,0,0,0,0,20250627,20250810
1001H5_20250627_20250810_La,0,0,0,0,0,1,0,20250627,20250810
1001H5_20250627_20250810_Ma,1,0,0,0,0,0,0,20250627,20250810
1001H5_20250627_20250810_Pe,0,0,0,0,1,0,0,20250627,20250810
1001H5_20250627_20250810_Su,0,0,0,0,0,0,1,20250627,20250810
1001H5_20250627_20250810_Ti,0,1,0,0,0,0,0,20250627,20250810
1001H5_20250627_20250810_TL,0,0,0,0,0,1,0,20250628,20250628
1001H5_20250627_20250810_To,0,0,0,1,0,0,0,20250627,20250810
1001H5_20250627_20250810_TS,0,0,0,0,0,0,1,20250629,20250629
1001H5_20250627_20250810_TU,0,0,0,0,1,0,0,20250627,20250627
1001H5_20250811_20250825_Ke,0,0,1,0,0,0,0,20250811,20250825
1001H5_20250811_20250825_La,0,0,0,0,0,1,0,20250811,20250825
1001H5_20250811_20250825_Ma,1,0,0,0,0,0,0,20250811,20250825
1001H5_20250811_20250825_Pe,0,0,0,0,1,0,0,20250811,20250825
1001H5_20250811_20250825_SN,0,0,0,0,0,0,1,20250824,20250824
1001H5_20250811_20250825_Su,0,0,0,0,0,0,1,20250811,20250825
1001H5_20250811_20250825_Ti,0,1,0,0,0,0,0,20250811,20250825
1001H5_20250811_20250825_To,0,0,0,1,0,0,0,20250811,20250825
1001H5_20250811_20250825_UL,0,0,0,0,1,0,0,20250822,20250822
1001H5_20250811_20250825_UT,0,0,0,0,0,1,0,20250823,20250823
1001H6_20250811_20250825_Ke,0,0,1,0,0,0,0,20250811,20250825
1001H6_20250811_20250825_Ma,1,0,0,0,0,0,0,20250811,20250825
1001H6_20250811_20250825_Pe,0,0,0,0,1,0,0,20250811,20250825
1001H6_20250811_20250825_Ti,0,1,0,0,0,0,0,20250811,20250825
1001H6_20250811_20250825_To,0,0,0,1,0,0,0,20250811,20250825
1001H6_20250811_20250825_UL,0,0,0,0,1,0,0,20250822,20250822
1001H7_20250627_20250810_Ke,0,0,1,0,0,0,0,20250627,20250810
1001H7_20250627_20250810_La,0,0,0,0,0,1,0,20250627,20250810
1001H7_20250627_20250810_Ma,1,0,0,0,0,0,0,20250627,20250810
1001H7_20250627_20250810_Pe,0,0,0,0,1,0,0,20250627,20250810
1001H7_20250627_20250810_Su,0,0,0,0,0,0,1,20250627,20250810
1001H7_20250627_20250810_Ti,0,1,0,0,0,0,0,20250627,20250810
1001H7_20250627_20250810_TL,0,0,0,0,0,1,0,20250628,20250628
1001H7_20250627_20250810_To,0,0,0,1,0,0,0,20250627,20250810
1001H7_20250627_20250810_TS,0,0,0,0,0,0,1,20250629,20250629
1001H7_20250627_20250810_TU,0,0,0,0,1,0,0,20250627,20250627
1001H7_20250811_20250825_La,0,0,0,0,0,1,0,20250811,20250825
1001H7_20250811_20250825_SN,0,0,0,0,0,0,1,20250824,20250824
1001H7_20250811_20250825_Su,0,0,0,0,0,0,1,20250811,20250825
1001H7_20250811_20250825_UT,0,0,0,0,0,1,0,20250823,20250823
