route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
1001,HSL,1,Eira - Töölö - Sörnäinen (M) - Käpylä,,0,http://aikataulut.hsl.fi/linjat/fi/h1_1a.html
1001H,HSL,1H,Käpylä - Ruskeasuo,,0,http://aikataulut.hsl.fi/linjat/fi/h1_1a.html
1001T,HSL,1T,Länsiterm. - Töölö - Sörnäinen (M) - Käpylä,,0,http://aikataulut.hsl.fi/linjat/fi/h1T.html
1002,HSL,2,Olympiaterm. - Rautatieas. - Kamppi - Töölö - Pasila as.,,0,http://aikataulut.hsl.fi/linjat/fi/h2.html
1002B,HSL,2B,Ruskeasuo- Pasila as.,,0,http://aikataulut.hsl.fi/linjat/fi/h2B.html
1002H,HSL,2H,Pasila as. - Ooppera,,0,http://aikataulut.hsl.fi/linjat/fi/h2.html
1003,HSL,3,Olympiaterm. - Eira - Lasipalatsi - Pikku Huopalahti,,0,http://aikataulut.hsl.fi/linjat/fi/h3.html
1003H,HSL,3H,Olympiaterm. - Lasipalatsi - Alppila - Ruskeasuo,,0,http://aikataulut.hsl.fi/linjat/fi/h3.html
1003N,HSL,3N,Olympiaterminaali - Eira - Lasipalatsi - Meilahti,,0,http://aikataulut.hsl.fi/linjat/fi/h3.html
1004,HSL,4,Katajanokka - Lasipalatsi - Alppila - Munkkiniemi,,0,http://aikataulut.hsl.fi/linjat/fi/h4.html
1004H,HSL,4H,Munkkiniemi - Alppila - Ooppera,,0,http://aikataulut.hsl.fi/linjat/fi/h4.html
1006B,HSL,6B,Hakaniemi - Sörnäinen (M) - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h6B.html
1006H,HSL,6H,Eiranranta - Töölö - Ruusulankatu,,0,http://aikataulut.hsl.fi/linjat/fi/h6_6t.html
1006T,HSL,6T,Eiranranta - Rautatieasema - Kruununhaka - Katajanokan term.,,0,http://aikataulut.hsl.fi/linjat/fi/h6_6t.html
1007B,HSL,7B,Linjat - Sörnäinen (M) - Pasila - Meilahden s.,,0,http://aikataulut.hsl.fi/linjat/fi/h7b.html
1007H,HSL,7H,Katajanokan term. - Kruununhaka - Rautatieas. - Ruusulankatu,,0,http://aikataulut.hsl.fi/linjat/fi/h7H.html
1007T,HSL,7T,Länsiterm. - Rautatieasema - Kruununhaka - Katajanokan term.,,0,http://aikataulut.hsl.fi/linjat/fi/h7T.html
1008,HSL,8,Jätkäsaari - Ruoholahti (M) - Töölö - Sörnäinen (M) - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h8.html
1008H,HSL,8H,Arabia - Sörnäinen (M) - Alppila - Ruskeasuo,,0,http://aikataulut.hsl.fi/linjat/fi/h8H.html
1008T,HSL,8T,Länsiterm. - Ruoholahti (M) - Töölö - Sörnäinen (M) - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h8T.html
1009B,HSL,9B,Hakaniemi - Kallio - Pasila as. - Ilmala,,0,http://aikataulut.hsl.fi/linjat/fi/h9B.html
1009H,HSL,9H,Kauppatori - Rautatieas. - Kamppi - Töölö - Ruusulankatu,,0,http://aikataulut.hsl.fi/linjat/fi/h9H.html
1009N,HSL,9N,Jätkäsaari - Rautatieas. - Kauppatori,,0,http://aikataulut.hsl.fi/linjat/fi/h9N.html
1009T,HSL,9T,Länsiterminaali - Rautatieas. - Kauppatori,,0,http://aikataulut.hsl.fi/linjat/fi/h9T.html
1010,HSL,10,Ullanlinna - Lasipalatsi - Ooppera - Vallila,,0,http://aikataulut.hsl.fi/linjat/fi/h10.html
1010H,HSL,10H,Vallila - Sturenkatu - Ooppera,,0,http://aikataulut.hsl.fi/linjat/fi/h10H.html
1013,HSL,13,Nihti - Kalasatama - Pasilan asema - Länsi-Pasila,,0,http://aikataulut.hsl.fi/linjat/fi/h13.html
