stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,vehicle_type,radius
1010107,H2014,"Meritullinkatu","Liisankatu",60.174167,24.956946,A,http://aikataulut.hsl.fi/pysakit/fi/1010107.html,0, ,2, ,3,40
1010108,H2013,"Meritullinkatu","Liisankatu",60.174230,24.956804,A,http://aikataulut.hsl.fi/pysakit/fi/1010108.html,0, ,2, ,3,40
1010109,H2016,"Liisanpuistikko","Liisankatu",60.174280,24.960710,A,http://aikataulut.hsl.fi/pysakit/fi/1010109.html,0, ,2, ,3,40
1010110,H2015,"Liisanpuistikko","Liisankatu 1",60.174330,24.960230,A,http://aikataulut.hsl.fi/pysakit/fi/1010110.html,0, ,2, ,3,40
1010111,H2527,"Pohjoisranta 25","Siltavuorenranta",60.176109,24.961050,A,http://aikataulut.hsl.fi/pysakit/fi/1010111.html,0, ,0, ,3,40
1010112,H2528,"Pohjoisranta 25","Siltavuorenranta",60.175957,24.960894,A,http://aikataulut.hsl.fi/pysakit/fi/1010112.html,0, ,0, ,3,40
1010124,H0454,"Snellmaninkatu","Liisankatu 20",60.174010,24.952360,A,http://aikataulut.hsl.fi/pysakit/fi/1010124.html,0, ,2, ,3,40
1010125,H0455,"Snellmaninkatu","Liisankatu 25",60.174106,24.952088,A,http://aikataulut.hsl.fi/pysakit/fi/1010125.html,0, ,2, ,3,40
1010419,H0450,"Hallituskatu","Snellmaninkatu",60.170140,24.953501,A,http://aikataulut.hsl.fi/pysakit/fi/1010419.html,0, ,1, ,0,40
1010420,H0451,"Hallituskatu","Snellmaninkatu",60.170360,24.953530,A,http://aikataulut.hsl.fi/pysakit/fi/1010420.html,0, ,1, ,0,30
1010421,H0453,"Kansallisarkisto","Snellmaninkatu",60.172160,24.953350,A,http://aikataulut.hsl.fi/pysakit/fi/1010421.html,0, ,1, ,0,20
1010422,H0452,"Kansallisarkisto","Snellmaninkatu",60.171830,24.953260,A,http://aikataulut.hsl.fi/pysakit/fi/1010422.html,0, ,1, ,0,30
1010424,H0408,"Ritarihuone","Aleksanterinkatu",60.169201,24.956227,A,http://aikataulut.hsl.fi/pysakit/fi/1010424.html,0, ,1, ,0,20
1010425,H0407,"Ritarihuone","Aleksanterinkatu",60.169120,24.955560,A,http://aikataulut.hsl.fi/pysakit/fi/1010425.html,0, ,1, ,0,20
1010427,H0455,"Snellmaninkatu","Liisankatu 25",60.174106,24.952088,A,http://aikataulut.hsl.fi/pysakit/fi/1010427.html,0, ,1, ,0,15
1010428,H0454,"Snellmaninkatu","Liisankatu",60.174010,24.952360,A,http://aikataulut.hsl.fi/pysakit/fi/1010428.html,0, ,1, ,0,30
1020105,H2061,"Kaisaniemenpuisto","Unioninkatu 43",60.175020,24.950490,A,http://aikataulut.hsl.fi/pysakit/fi/1020105.html,0, ,2, ,3,40
